area,is_house,has_pool,age,price,lat,lon,rooms,cluster_id,direccion
81.01152935368363,0,0,11.0,630.0,40.718433488869024,-74.00869943941048,2.0,0,"Worth Street, Tribeca, Manhattan, Condado de Nueva York, Nueva York, 10013, Estados Unidos de América"
99.96376787220596,0,0,7.0,772.0,40.70703655672786,-73.99882286547236,3.0,1,"Brooklyn Bridge, South Street, Two Bridges, Civic Center, Manhattan, Condado de Nueva York, Nueva York, 10038, Estados Unidos de América"
137.0,0,0,10.0,214.0,-34.55022296767069,-58.39126792444024,4.0,-1,Argentina
71.99992574438626,1,1,10.0,751.0,40.72622343814479,-74.04392912201224,2.0,2,"121, 7th Street, Hamilton Park, Ciudad de Jersey, Condado de Hudson, Nueva Jersey, 07302, Estados Unidos de América"
154.0,1,0,16.0,273.0,-34.56352457846761,-58.347365081459614,4.0,3,Argentina
65.9612222948571,0,0,7.0,493.0,40.70615895650401,-74.0217395399245,2.0,4,"Battery Park City Greenway, Battery Park City, Manhattan, Condado de Nueva York, Nueva York, 10280, Estados Unidos de América"
128.0,0,0,9.0,247.0,-34.6089085606826,-58.39292241614618,3.0,5,"1867, Avenida Rivadavia, Balvanera, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, C1033AAI, Argentina"
129.9714788598663,0,0,11.0,948.0,40.72249326969758,-73.97726764483569,4.0,6,"754, East 6th Street, Manhattan Community Board 3, Manhattan, Condado de Nueva York, Nueva York, 10009, Estados Unidos de América"
103.0,1,0,15.0,190.0,-34.57367874000471,-58.4600960371477,3.0,7,"Parroquia San Ambrosio, 3265, Avenida Elcano, Colegiales, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, 1426, Argentina"
47.0,1,0,12.0,93.0,-34.640750345622635,-58.43088241849546,1.0,-1,"Iglesia Calvario, Avenida José María Moreno, Parque Chacabuco, Buenos Aires, Comuna 7, Ciudad Autónoma de Buenos Aires, C1437ANL, Argentina"
104.9805368918148,0,1,5.0,903.0,40.69053601025058,-74.01399100913282,3.0,8,"25, Andes Road, Nolan Park, Manhattan, Condado de Nueva York, Nueva York, 10004, Estados Unidos de América"
94.01796755266952,0,0,5.0,1169.0,40.71193861764822,-74.00625513326035,3.0,9,"42, Park Row, Lower Manhattan, Manhattan, Condado de Nueva York, Nueva York, 10038, Estados Unidos de América"
40.0,0,0,13.0,65.0,-34.606323366650415,-58.29995803515639,1.0,-1,Argentina
103.0,0,0,5.0,184.0,-34.53139306344824,-58.41969807757302,3.0,10,Argentina
93.0,1,0,12.0,176.0,-34.62244552493263,-58.426856566161526,2.0,11,"725, Muñiz, Boedo, Buenos Aires, Comuna 5, Ciudad Autónoma de Buenos Aires, C1235ABE, Argentina"
227.0,1,0,19.0,388.0,-34.56397963203994,-58.41327481071831,5.0,12,"Aeroparque Jorge Newbery, Avenida Costanera Rafael Obligado, Palermo, Buenos Aires, Comuna 14, Ciudad Autónoma de Buenos Aires, C1425, Argentina"
51.0,1,1,10.0,112.0,-34.545128885685976,-58.36481674124256,2.0,-1,Argentina
77.0,1,0,12.0,147.0,-34.63038847682812,-58.40161918306062,2.0,13,"2660, Inclán, Parque Patricios, Buenos Aires, Comuna 4, Ciudad Autónoma de Buenos Aires, 1456, Argentina"
92.0,1,0,7.0,175.0,-34.596283384304634,-58.3467474960838,3.0,14,"Camino de los Alisos, Puerto Madero, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1107CCC, Argentina"
147.0,1,0,11.0,279.0,-34.53251398458151,-58.41281143164861,4.0,15,Argentina
108.0,1,0,15.0,189.0,-34.554458247187306,-58.39365113022453,3.0,-1,Argentina
