Clase_0,Clase_1,Clase_2,Clase_3,Clase_4,Clase_5,Clase_6,Clase_7,Clase_8,Clase_9,Clase_10,Clase_11,Clase_12,Clase_13,Clase_14,Clase_15,Clase_16,Clase_17,Clase_18,Clase_19,Clase_20,Clase_21,Clase_22,Clase_23,Clase_24,Clase_25,Clase_26,Clase_27,Clase_28,Clase_29,Clase_30,Clase_31,Clase_32,Clase_33,Clase_34,Clase_35,Clase_36,Clase_37,Clase_38,Clase_39,Clase_40,Clase_41,Clase_42,Clase_43,Clase_44,Clase_45,Clase_46,Clase_47,Clase_48
0.9999312,2.7041983e-07,1.9264172e-16,1.05054366e-13,2.3528337e-09,4.3918175e-07,1.0127003e-12,1.6644487e-09,9.484592e-10,1.8593819e-09,1.4369334e-10,4.162009e-07,3.0100877e-10,1.8397945e-14,3.2110724e-11,1.726856e-08,7.188495e-09,1.3437896e-08,7.684838e-15,1.7412581e-10,3.0609425e-11,8.9777247e-10,2.1035396e-08,9.710629e-09,1.9298627e-09,4.3772885e-10,3.72764e-14,1.15796726e-10,9.949418e-11,4.116059e-07,3.884366e-12,2.1557627e-11,2.2331411e-08,6.604995e-05,1.9635729e-09,2.6543738e-09,1.0024799e-09,5.5671787e-11,1.6586505e-11,2.4242726e-09,3.0392447e-10,7.12797e-09,2.3881472e-07,9.598919e-14,8.335564e-07,1.0670167e-08,8.098911e-12,2.7811243e-12,8.3707016e-13
0.56996953,4.379309e-06,2.0136953e-08,7.762799e-05,5.186939e-09,5.1691964e-05,1.558808e-08,1.7400352e-07,5.646719e-06,8.502597e-06,7.552773e-08,0.021274565,0.10033521,2.018475e-08,0.16981463,2.158299e-05,1.0492019e-05,3.6650074e-06,1.2703167e-07,0.00028658746,5.3104222e-06,9.924431e-06,4.963775e-06,2.1877757e-07,7.9414866e-07,1.5435173e-05,1.2438589e-09,7.27394e-08,3.740843e-05,0.13028672,9.765475e-09,0.0005191495,7.807133e-06,0.000391337,0.0021748857,7.030083e-06,1.4910339e-06,3.4328852e-07,1.2870327e-05,9.93921e-07,1.2660045e-08,5.507991e-06,0.0021528883,2.4849163e-09,0.0014102306,0.0009623098,0.00012398555,1.3905387e-06,2.4600158e-06
0.9172777,2.5403346e-05,9.313818e-08,5.5763176e-09,7.6088824e-08,2.284391e-05,7.4363304e-10,2.7444341e-05,1.8849461e-06,0.0049326946,2.3839121e-07,0.011572001,0.00018094586,4.1439335e-10,2.0023856e-06,5.9919003e-06,2.618088e-05,0.008161945,2.211302e-06,2.3770246e-05,3.488388e-08,1.547148e-06,8.490452e-06,6.955264e-07,0.041924603,0.0030825327,3.011954e-08,8.992891e-08,1.0254217e-06,0.0002321539,3.71721e-08,1.4586176e-05,8.615049e-06,0.006185253,1.3368933e-06,3.3499477e-06,0.0005747769,1.2485459e-06,0.00011032238,3.4712275e-06,6.5520526e-06,2.183096e-06,0.004134946,6.909939e-08,0.0014354315,1.0582618e-06,1.0799294e-07,1.5581394e-06,5.678687e-07
0.00015667542,2.0194793e-08,8.824545e-19,1.2518632e-12,7.0233654e-08,2.801536e-11,6.131529e-17,1.3134989e-08,2.0217696e-11,9.636271e-12,1.8411458e-13,2.0638528e-07,1.06539515e-08,2.0269594e-18,5.0432076e-13,8.42214e-12,2.277433e-11,1.2517292e-05,4.335021e-13,4.185872e-17,8.17482e-14,7.354348e-06,0.9992099,2.2424702e-08,1.2119443e-05,5.470956e-06,3.1393898e-12,1.3431207e-05,8.906347e-09,5.124875e-07,1.7843976e-13,1.9058186e-08,3.282219e-11,0.00043113838,7.614757e-18,1.7628692e-07,1.7693704e-09,1.8965424e-16,4.009715e-16,8.353422e-17,1.1682322e-12,2.4229885e-05,4.2820262e-05,7.0891097e-12,7.9861444e-08,8.3162886e-05,5.9562246e-14,5.2460774e-09,5.5734217e-15
0.99045104,0.0006231562,3.5547374e-11,9.015727e-10,2.246627e-06,3.1713066e-07,7.170239e-08,1.3622291e-07,7.182032e-06,0.0047905766,7.655903e-07,5.7241607e-07,1.1231973e-06,4.6233875e-10,1.5491882e-09,8.944906e-07,0.000112048096,4.6770954e-05,2.0432014e-09,2.2681851e-08,0.0001706751,1.5660155e-05,0.0005645134,0.0008799458,0.0015829708,0.00020530606,5.3307062e-06,4.4537163e-08,3.8557086e-08,7.130985e-05,1.11451595e-08,6.3476815e-05,2.427892e-05,6.4538654e-06,3.117032e-07,1.8812409e-07,4.5715815e-06,5.507626e-08,2.5080809e-07,8.545747e-07,1.1908573e-05,2.678775e-05,4.945918e-07,4.457335e-07,0.00032308482,3.8893236e-06,7.6209183e-10,1.3579772e-07,6.34144e-08
0.9999696,1.8271237e-08,2.8220912e-14,9.308158e-17,1.2406447e-12,1.5799918e-09,4.4268166e-11,3.3098767e-15,2.5065743e-11,5.8548306e-08,3.81304e-11,8.083762e-11,2.2169488e-10,7.668115e-16,2.7477307e-10,4.357194e-08,5.7810237e-09,1.4180406e-05,6.5410845e-12,2.7418254e-10,1.2295142e-08,2.6468012e-09,1.4491713e-13,2.559401e-12,1.3640401e-05,1.6269793e-11,5.0568175e-11,8.615223e-14,4.3247454e-12,1.6811687e-06,1.5818725e-10,6.357155e-11,2.1751903e-09,8.938314e-09,2.682454e-16,2.322852e-09,1.690945e-08,2.3392207e-14,1.5970122e-14,7.858811e-09,4.7912546e-10,3.0297983e-11,2.5369704e-07,1.2144326e-11,5.862555e-07,9.685641e-09,1.0943099e-12,1.5841581e-14,1.1340454e-12
0.99483156,4.1781914e-06,2.3942242e-14,8.2173207e-10,1.3460632e-08,9.245545e-07,4.6581935e-12,4.3580246e-09,9.665325e-09,4.816171e-07,2.4124631e-11,8.104844e-06,7.104646e-08,2.6763429e-12,7.685222e-08,1.5399786e-08,3.1944467e-07,1.2328486e-07,2.7778918e-12,1.104257e-08,7.659042e-08,3.014932e-07,3.759019e-06,6.769221e-08,5.0610987e-07,7.810241e-07,1.8922317e-11,4.618984e-11,2.4811437e-09,0.0042140614,1.6760497e-08,3.903075e-05,4.154441e-07,0.00020754761,5.532357e-07,4.009017e-08,3.1064445e-07,3.088081e-09,3.993658e-10,1.0172669e-10,1.02984494e-07,3.483146e-09,5.8260476e-08,1.2427122e-09,0.00068532233,9.827912e-07,1.7263654e-09,4.81708e-09,3.3495746e-09
0.9993999,1.5815047e-07,9.837372e-15,1.02652876e-07,1.6900668e-10,6.4207257e-09,2.2561468e-11,3.4275527e-11,3.5214998e-11,8.1552605e-09,1.8231037e-12,0.00013195575,4.0587743e-08,1.4292755e-17,1.1272357e-08,1.8425748e-09,2.9331704e-09,2.747749e-09,1.2057014e-12,2.2706988e-08,6.601452e-11,0.00032362985,3.4325004e-10,3.8480677e-11,2.3848736e-09,1.6956051e-09,1.2664202e-13,3.3347192e-07,1.5259303e-11,3.6403463e-07,2.105818e-11,8.3844105e-07,3.9709342e-09,2.0271784e-05,3.163647e-13,1.9983065e-10,4.6218424e-10,1.9076242e-07,7.7941396e-11,1.26961e-10,9.26498e-13,2.2736906e-07,4.5440585e-05,4.541616e-12,1.6246468e-05,6.035046e-05,1.9874868e-08,4.1027173e-09,7.018633e-12
0.11701298,1.857985e-05,5.1318433e-12,6.924242e-08,1.5938867e-06,1.3248669e-05,4.843232e-09,4.700666e-06,7.2440137e-10,1.5940525e-06,1.9615296e-08,4.6323217e-05,5.0308532e-08,1.0057348e-14,4.4324e-07,2.7295013e-05,9.382536e-08,1.6229265e-05,1.3330426e-11,7.0754158e-12,3.410795e-08,0.08226154,1.4861102e-05,1.02941996e-07,7.624268e-06,4.162788e-08,5.5497225e-09,0.000575482,8.76176e-07,0.38792118,1.3506613e-07,0.00075497286,5.1441823e-08,0.0017439562,2.7101094e-13,0.0003363967,9.839605e-06,2.7220353e-09,7.6309303e-10,4.5920767e-10,4.5706318e-07,2.3655927e-07,0.03457036,3.682248e-08,0.026145568,0.34719878,1.0742429e-09,0.0013140491,1.6849312e-07
0.9999579,4.745223e-11,1.1316083e-19,1.2812939e-13,6.451934e-11,3.6319583e-11,1.1992824e-17,1.75077e-13,3.4630933e-12,1.2054305e-10,1.4557581e-14,9.392855e-09,8.4699187e-10,6.0951476e-19,2.1942924e-08,1.2100387e-12,1.2799231e-10,8.2562623e-10,9.6033695e-14,1.3905482e-12,1.6762275e-12,1.2278477e-08,3.668309e-10,1.5649852e-14,3.509472e-09,6.7339943e-09,6.3968835e-17,1.8100978e-13,3.376471e-15,1.127832e-06,7.1207575e-12,1.6049073e-08,7.1124544e-11,4.0929062e-05,3.538108e-14,4.9709122e-11,2.7512123e-10,2.444075e-12,7.857392e-15,6.044455e-14,1.3717119e-14,7.7105475e-11,1.563903e-09,2.3651327e-11,5.5863655e-08,2.3925685e-08,8.9125197e-13,4.1058008e-12,2.2213415e-14
